Date,AMZN_Close,AMZN_Return,AMZN_Position
2018-01-03,60.209999084472656,0.012775310383486449,0
2018-01-04,60.47949981689453,0.004476012896857506,0
2018-01-05,61.457000732421875,0.016162516530176196,0
2018-01-08,62.34349822998047,0.014424678832250848,0
2018-01-09,62.6349983215332,0.0046757095740346255,0
2018-01-10,62.71649932861328,0.0013012055442500614,0
2018-01-11,63.83399963378906,0.01781828254348916,0
2018-01-12,65.26000213623047,0.022339231610462695,0
2018-01-16,65.24299621582031,-0.0002605871874575838,0
2018-01-17,64.75,-0.00755630863716783,0
2018-01-18,64.66600036621094,-0.0012972916415299185,0
2018-01-19,64.72899627685547,0.0009741736041779525,0
2018-01-22,66.3655014038086,0.025282411609683475,0
2018-01-23,68.12699890136719,0.02654236704761037,0
2018-01-24,67.87550354003906,-0.0036915667119321594,0
2018-01-25,68.89749908447266,0.015056912893923968,0
2018-01-26,70.10250091552734,0.017489776074125496,0
2018-01-29,70.88400268554688,0.011147987016343786,0
2018-01-30,71.89099884033203,0.014206254114237371,0
2018-01-31,72.54450225830078,0.009090198056924459,0
2018-02-01,69.5,-0.04196737400527717,0
2018-02-02,71.49749755859375,0.02874097206609716,0
2018-02-05,69.5,-0.027938006598856924,0
2018-02-06,72.14199829101562,0.03801436389950541,0
2018-02-07,70.83899688720703,-0.018061620618718965,0
2018-02-08,67.5250015258789,-0.046782076355553315,0
2018-02-09,66.9800033569336,-0.008071057484337008,0
2018-02-12,69.3115005493164,0.0348088545167482,0
2018-02-13,70.72550201416016,0.020400675986486094,0
2018-02-14,72.55249786376953,0.025832207585371192,0
2018-02-15,73.08799743652344,0.007380856462852581,0
2018-02-16,72.43450164794922,-0.008941218962002284,0
2018-02-20,73.4175033569336,0.013570904563712238,0
2018-02-21,74.14600372314453,0.009922706887337096,0
2018-02-22,74.26699829101562,0.001631842065593636,0
2018-02-23,75.0,0.009869817359685173,0
2018-02-26,76.09750366210938,0.014633382161458375,0
2018-02-27,75.5989990234375,-0.006550867172796515,0
2018-02-28,75.62249755859375,0.0003108313001467522,0
2018-03-01,74.67250061035156,-0.012562358807392093,0
2018-03-02,75.01249694824219,0.004553166629101657,0
2018-03-05,76.18049621582031,0.01557072907976953,0
2018-03-06,76.88200378417969,0.00920849302913429,0
2018-03-07,77.25,0.004786506564700588,0
2018-03-08,77.59300231933594,0.0044401594736043215,0
2018-03-09,78.94450378417969,0.01741782666536884,0
2018-03-12,79.91950225830078,0.012350428812454961,0
2018-03-13,79.40899658203125,-0.006387748444923624,0
2018-03-14,79.55000305175781,0.001775698923243585,0
2018-03-15,79.11599731445312,-0.005455760159082668,0
2018-03-16,78.58399963378906,-0.006724274466889391,0
2018-03-19,77.24649810791016,-0.01702002356856136,0
2018-03-20,79.32550048828125,0.02691387223103381,0
2018-03-21,79.09300231933594,-0.0029309385697435797,0
2018-03-22,77.24600219726562,-0.023352257063312565,0
2018-03-23,74.77799987792969,-0.03194990354365934,0
2018-03-26,77.79299926757812,0.0403193371656132,1
2018-03-27,74.85250091552734,-0.037799009933227934,0
2018-03-28,71.57099914550781,-0.043839574227757305,1
2018-03-29,72.36699676513672,0.011121789958675743,1
2018-04-02,68.59950256347656,-0.05206094449224363,1
2018-04-03,69.60250091552734,0.014621073252283123,1
2018-04-04,70.52850341796875,0.013304155601610468,1
2018-04-05,72.5875015258789,0.02919384373872269,1
2018-04-06,70.2614974975586,-0.032044139547784845,1
2018-04-09,70.30400085449219,0.0006049309856379637,1
2018-04-10,71.81099700927734,0.02143542524562969,1
2018-04-11,71.35250091552734,-0.006384761566404218,1
2018-04-12,72.42500305175781,0.015031037769792865,1
2018-04-13,71.53949737548828,-0.012226519005276604,1
2018-04-16,72.07499694824219,0.007485369514734552,1
2018-04-17,75.19149780273438,0.04323969457439136,1
2018-04-18,76.39199829101562,0.015965907361371823,1
2018-04-19,77.84549713134766,0.019026846696625466,1
2018-04-20,76.37449645996094,-0.018896413095091713,1
2018-04-23,75.89299774169922,-0.006304443768269441,1
2018-04-24,73.00450134277344,-0.03806011733462866,1
2018-04-25,73.00849914550781,5.476104433066453e-05,1
2018-04-26,75.89800262451172,0.03957763154732241,1
2018-04-27,78.63099670410156,0.03600877473825914,1
2018-04-30,78.30650329589844,-0.004126787422321976,1
2018-05-01,79.11299896240234,0.010299216955919732,1
2018-05-02,78.48400115966797,-0.007950625194139027,1
2018-05-03,78.60399627685547,0.001528911821702117,1
2018-05-04,79.04750061035156,0.005642261901468659,1
2018-05-07,80.00700378417969,0.012138311349751518,1
2018-05-08,79.61949920654297,-0.004843383195326512,1
2018-05-09,80.4000015258789,0.009802904151798408,1
2018-05-10,80.4540023803711,0.0006716524063099527,1
2018-05-11,80.14550018310547,-0.003834516470754168,1
2018-05-14,80.0770034790039,-0.0008546543966294617,1
2018-05-15,78.80599975585938,-0.015872268790349864,1
2018-05-16,79.36399841308594,0.007080662119067549,1
2018-05-17,79.08799743652344,-0.003477659670395261,1
2018-05-18,78.71849822998047,-0.004672001043388829,1
2018-05-21,79.27300262451172,0.007044143460552821,1
2018-05-22,79.06999969482422,-0.0025608078786804045,1
2018-05-23,80.09300231933594,0.012937936366005598,1
2018-05-24,80.15350341796875,0.0007553855752788774,1
2018-05-25,80.50749969482422,0.004416479152626884,1
2018-05-29,80.64350128173828,0.0016893033249025802,1
2018-05-30,81.24449920654297,0.00745252767120097,1
2018-05-31,81.48100280761719,0.0029110106331380337,1
2018-06-01,82.0770034790039,0.007314596664868223,1
2018-06-04,83.26349639892578,0.014455850842866047,1
2018-06-05,84.81749725341797,0.018663651200122366,1
2018-06-06,84.7874984741211,-0.0003536862117876627,1
2018-06-07,84.46499633789062,-0.003803651977406841,1
2018-06-08,84.19950103759766,-0.003143258294014406,1
2018-06-11,84.45600128173828,0.0030463392416790747,1
2018-06-12,84.9375,0.005701178257960349,1
2018-06-13,85.24299621582031,0.0035967177727189714,1
2018-06-14,86.19300079345703,0.011144664310384744,1
2018-06-15,85.79850006103516,-0.004576946257703773,1
2018-06-18,86.18949890136719,0.004557175708828076,1
2018-06-19,86.73899841308594,0.006375480989251114,1
