Date,AAPL_Close,AAPL_Return,AAPL_Position
2015-01-05,23.55474090576172,-0.028171645344017615,0
2015-01-06,23.556957244873047,9.409312206809517e-05,0
2015-01-07,23.88727378845215,0.01402203774220423,0
2015-01-08,24.805086135864258,0.038422649463490055,0
2015-01-09,24.831684112548828,0.001072279150287292,0
2015-01-12,24.219812393188477,-0.024640766070761155,0
2015-01-13,24.434852600097656,0.008878690033522263,0
2015-01-14,24.341747283935547,-0.0038103489996799134,0
2015-01-15,23.68109893798828,-0.027140547399539527,0
2015-01-16,23.497098922729492,-0.007769910329778806,0
2015-01-20,24.102325439453125,0.025757499626397617,0
2015-01-21,24.286327362060547,0.007634197914622387,0
2015-01-22,24.91814613342285,0.0260154103147483,0
2015-01-23,25.04672622680664,0.005160098696560977,0
2015-01-26,25.073328018188477,0.0010620865633674814,0
2015-01-27,24.195436477661133,-0.0350129643695688,0
2015-01-28,25.563262939453125,0.05653241523685115,0
2015-01-29,26.35913848876953,0.03113356660303679,0
2015-01-30,25.973398208618164,-0.01463402456479046,0
2015-02-02,26.299274444580078,0.012546538321419387,0
2015-02-03,26.303714752197266,0.00016883764708208737,0
2015-02-04,26.505460739135742,0.007669866740842135,0
2015-02-05,26.69463348388672,0.007137123425727143,0
2015-02-06,26.4698429107666,-0.008420815114611124,0
2015-02-09,26.645673751831055,0.006642685476343946,0
2015-02-10,27.15757942199707,0.019211586651316725,0
2015-02-11,27.79411506652832,0.02343860012853982,0
2015-02-12,28.145771026611328,0.01265217328349122,0
2015-02-13,28.28376007080078,0.0049026563905101295,0
2015-02-17,28.4506893157959,0.00590194672056521,0
2015-02-18,28.64877700805664,0.006962491842008367,0
2015-02-19,28.588682174682617,-0.0020976404457727638,0
2015-02-20,28.82237434387207,0.008174289663355205,0
2015-02-23,29.601364135742188,0.02702725953719831,0
2015-02-24,29.4166316986084,-0.006240673108396821,0
2015-02-25,28.66435432434082,-0.025573198929609853,0
2015-02-26,29.027137756347656,0.012656256893209372,0
2015-02-27,28.590904235839844,-0.015028471775947572,0
2015-03-02,28.731115341186523,0.004904045852838657,0
2015-03-03,28.791215896606445,0.0020918281349755485,0
2015-03-04,28.608713150024414,-0.006338834290202433,0
2015-03-05,28.134641647338867,-0.016570878256547572,0
2015-03-06,28.176939010620117,0.0015033908663717455,0
2015-03-09,28.2971248626709,0.004265397742653443,0
2015-03-10,27.711767196655273,-0.020686118072292925,0
2015-03-11,27.206539154052734,-0.018231534604675748,0
2015-03-12,27.69841194152832,0.01807921193836659,0
2015-03-13,27.507007598876953,-0.006910300238707645,0
2015-03-16,27.8096981048584,0.011004123399951382,0
2015-03-17,28.274860382080078,0.01672662088843091,0
2015-03-18,28.593130111694336,0.011256279440940098,0
2015-03-19,28.37724494934082,-0.0075502458636111935,0
2015-03-20,28.021141052246094,-0.012548924243013904,0
2015-03-23,28.312698364257812,0.010404905048945201,0
2015-03-24,28.196964263916016,-0.004087710003928824,0
2015-03-25,27.460262298583984,-0.026126995744531145,0
2015-03-26,27.65167236328125,0.006970438323421924,0
2015-03-27,27.431337356567383,-0.007968234391727114,0
2015-03-30,28.12574577331543,0.02531442079260482,0
2015-03-31,27.6939640045166,-0.01535183359327974,0
2015-04-01,27.653900146484375,-0.0014466639021302186,0
2015-04-02,27.892045974731445,0.008611654305020089,0
2015-04-06,28.343860626220703,0.016198691623360073,0
2015-04-07,28.045618057250977,-0.010522298740554215,0
2015-04-08,27.954364776611328,-0.0032537446831575334,0
2015-04-09,28.168027877807617,0.00764328228896316,0
2015-04-10,28.2882137298584,0.004266747128061077,0
2015-04-13,28.23257064819336,-0.0019670058419527514,0
2015-04-14,28.110164642333984,-0.004335630906043941,0
2015-04-15,28.216995239257812,0.003800425870254198,0
2015-04-16,28.081233978271484,-0.004811329478393467,0
2015-04-17,27.76518440246582,-0.011254832179035112,0
2015-04-20,28.399497985839844,0.022845646338213843,0
2015-04-21,28.245922088623047,-0.005407697604139727,0
2015-04-22,28.626516342163086,0.013474307984915557,0
2015-04-23,28.860210418701172,0.008163552761531356,0
2015-04-24,28.995975494384766,0.004704230278086197,0
2015-04-27,29.523462295532227,0.01819172461535601,0
2015-04-28,29.058300018310547,-0.015755681788449105,0
2015-04-29,28.63096809387207,-0.014706019421962147,0
2015-04-30,27.854209899902344,-0.027130001033251028,0
2015-05-01,28.69995880126953,0.030363413803747852,0
2015-05-04,28.644319534301758,-0.0019386531999241452,0
2015-05-05,27.99888038635254,-0.022532884650176443,0
2015-05-06,27.82305335998535,-0.006279787760830935,0
2015-05-07,27.995145797729492,0.006185246296211311,0
2015-05-08,28.52259635925293,0.018840786375408536,0
2015-05-11,28.23204803466797,-0.010186601560580044,0
2015-05-12,28.131473541259766,-0.003562422863715109,0
2015-05-13,28.16276741027832,0.0011124148535146539,0
2015-05-14,28.81983757019043,0.023331164524417636,0
2015-05-15,28.779617309570312,-0.0013955755483410215,0
2015-05-18,29.09697914123535,0.011027312429185976,0
2015-05-19,29.07016372680664,-0.0009215875743853186,0
2015-05-20,29.067934036254883,-7.670030938633499e-05,0
2015-05-21,29.36517906188965,0.010225873819034614,0
