Date,NFLX_Close,NFLX_Return,NFLX_Position
2018-01-03,20.5049991607666,0.019794042018585145,0
2018-01-04,20.562999725341797,0.002828606044821047,0
2018-01-05,20.999000549316406,0.021203172192687525,0
2018-01-08,21.204999923706055,0.009809960902941839,0
2018-01-09,20.930999755859375,-0.012921488744754073,0
2018-01-10,21.25200080871582,0.015336154823019532,0
2018-01-11,21.724000930786133,0.022209679282373163,0
2018-01-12,22.12299919128418,0.018366702421403813,0
2018-01-16,22.152999877929688,0.0013560858718164592,0
2018-01-17,21.75,-0.018191661632751766,0
2018-01-18,22.033000946044922,0.013011537749191726,0
2018-01-19,22.04599952697754,0.0005899596230423132,0
2018-01-22,22.757999420166016,0.03229610398554206,0
2018-01-23,25.02899932861328,0.09978908367643768,0
2018-01-24,26.1299991607666,0.04398896726544921,0
2018-01-25,26.969999313354492,0.03214696439214304,0
2018-01-26,27.459999084472656,0.018168327163268883,0
2018-01-29,28.458999633789062,0.03638021058352092,0
2018-01-30,27.8799991607666,-0.020345074685443998,0
2018-01-31,27.030000686645508,-0.030487751065546354,0
2018-02-01,26.506999969482422,-0.01934889766471526,1
2018-02-02,26.743000030517578,0.008903310872858672,1
2018-02-05,25.426000595092773,-0.049246510635378216,1
2018-02-06,26.57200050354004,0.045071968914703886,1
2018-02-07,26.45599937438965,-0.004365539927448703,1
2018-02-08,25.010000228881836,-0.05465675762404165,1
2018-02-09,24.94700050354004,-0.0025189813980507347,1
2018-02-12,25.795000076293945,0.033992045361668666,1
2018-02-13,25.82699966430664,0.001240534519017178,1
2018-02-14,26.600000381469727,0.029929946459533507,1
2018-02-15,28.027000427246094,0.0536466174929251,1
2018-02-16,27.851999282836914,-0.006244019757428387,0
2018-02-20,27.854999542236328,0.00010772150928728408,0
2018-02-21,28.104000091552734,0.00893916903279246,0
2018-02-22,27.81399917602539,-0.010318848369720524,0
2018-02-23,28.593000411987305,0.028007523514755217,0
2018-02-26,29.416000366210938,0.028783266616489778,0
2018-02-27,29.06100082397461,-0.012068246458281306,0
2018-02-28,29.13800048828125,0.002649587492634442,0
2018-03-01,29.038999557495117,-0.0033976569815059587,0
2018-03-02,30.104999542236328,0.036709253107380935,0
2018-03-05,31.5,0.0463378335484288,0
2018-03-06,32.52199935913086,0.03244442409939241,0
2018-03-07,32.11600112915039,-0.012483802902064856,0
2018-03-08,31.700000762939453,-0.012953056158456544,0
2018-03-09,33.14400100708008,0.04555205707845933,0
2018-03-12,32.130001068115234,-0.030593769857424236,0
2018-03-13,31.58799934387207,-0.01686902291394654,0
2018-03-14,32.154998779296875,0.017949836874832092,0
2018-03-15,32.10900115966797,-0.0014304966995838386,0
2018-03-16,31.844999313354492,-0.008222051037984013,0
2018-03-19,31.347999572753906,-0.015606837849488131,0
2018-03-20,31.75,0.012823798415369847,1
2018-03-21,31.648000717163086,-0.0032125758373831026,0
2018-03-22,30.670000076293945,-0.03090244624327121,0
2018-03-23,30.0939998626709,-0.018780574248131843,1
2018-03-26,32.03499984741211,0.06449790634673525,1
2018-03-27,30.069000244140625,-0.06137036405918084,1
2018-03-28,28.57699966430664,-0.0496192280328549,1
2018-03-29,29.53499984741211,0.03352346972597098,1
2018-04-02,28.02899932861328,-0.05099036826068537,1
2018-04-03,28.367000579833984,0.012058983885152585,1
2018-04-04,28.893999099731445,0.018577872497105075,1
2018-04-05,29.39699935913086,0.01740846802352425,1
2018-04-06,28.885000228881836,-0.017416713998396394,1
2018-04-09,28.993000030517578,0.00373895796364776,1
2018-04-10,29.80699920654297,0.028075713971254634,1
2018-04-11,30.367000579833984,0.018787579702692403,1
2018-04-12,30.924999237060547,0.01837516536279571,1
2018-04-13,31.165000915527344,0.007760765865409525,1
2018-04-16,30.777999877929688,-0.012417809280565129,1
2018-04-17,33.60599899291992,0.0918837847230658,1
2018-04-18,33.45199966430664,-0.004582495186223334,1
2018-04-19,33.27000045776367,-0.00544060768771204,1
2018-04-20,32.777000427246094,-0.014818155206924088,1
2018-04-23,31.868999481201172,-0.0277023807611797,1
2018-04-24,30.70199966430664,-0.03661865248022356,1
2018-04-25,30.576000213623047,-0.004103949321258016,1
2018-04-26,31.398000717163086,0.026883846735904937,1
2018-04-27,31.176000595092773,-0.007070517771819773,1
2018-04-30,31.246000289916992,0.0022453070787802343,1
2018-05-01,31.329999923706055,0.0026883323628519307,1
2018-05-02,31.336000442504883,0.0001915262947156382,1
2018-05-03,31.16900062561035,-0.005329327755178581,1
2018-05-04,32.00899887084961,0.026949797182430846,1
2018-05-07,32.625999450683594,0.01927584746787825,1
2018-05-08,32.68899917602539,0.0019309669099034643,1
2018-05-09,33.029998779296875,0.010431631798675012,1
2018-05-10,32.959999084472656,-0.002119276337003484,1
2018-05-11,32.645999908447266,-0.009526674294518256,1
2018-05-14,32.85300064086914,0.00634076863941635,1
2018-05-15,32.612998962402344,-0.007305319872920046,1
2018-05-16,32.819000244140625,0.006316539057808379,1
2018-05-17,32.52199935913086,-0.009049662780717727,1
2018-05-18,32.417999267578125,-0.003197838189598734,1
