Date,GC=F_Close,GC=F_Return,GC=F_Position
2018-01-03,1316.199951171875,0.0019030220696665268,0
2018-01-04,1319.4000244140625,0.002431297189563253,0
2018-01-05,1320.300048828125,0.0006821467313995466,0
2018-01-08,1318.5999755859375,-0.0012876415809394137,0
2018-01-09,1311.699951171875,-0.005232841302758584,0
2018-01-10,1317.4000244140625,0.004345561831495814,0
2018-01-11,1320.5999755859375,0.0024289897620870526,0
2018-01-12,1333.4000244140625,0.00969260113945225,0
2018-01-16,1335.4000244140625,0.001499924976286815,0
2018-01-17,1338.0,0.0019469638598204053,0
2018-01-18,1326.0,-0.008968609865470878,0
2018-01-19,1331.9000244140625,0.004449490508342757,0
2018-01-22,1330.9000244140625,-0.000750807103888973,0
2018-01-23,1335.699951171875,0.0036065269139398115,0
2018-01-24,1355.9000244140625,0.015123211784551671,0
2018-01-25,1362.4000244140625,0.0047938637679492135,0
2018-01-26,1351.5999755859375,-0.007927223014231655,0
2018-01-30,1335.4000244140625,-0.011985758704125549,0
2018-01-31,1339.0,0.0026958031452164466,0
2018-02-01,1344.300048828125,0.003958214210698197,0
2018-02-02,1333.699951171875,-0.007885217043241521,0
2018-02-05,1333.0,-0.0005248190728807112,0
2018-02-06,1326.0999755859375,-0.005176312388644022,0
2018-02-07,1311.5999755859375,-0.010934318880138072,0
2018-02-08,1316.9000244140625,0.0040409034208446215,0
2018-02-09,1313.0999755859375,-0.0028856016080763824,0
2018-02-12,1324.199951171875,0.008453260065734547,0
2018-02-13,1328.0999755859375,0.002945192990387202,0
2018-02-14,1355.5,0.02063099534504098,0
2018-02-15,1352.0999755859375,-0.0025083175315843143,0
2018-02-16,1353.199951171875,0.0008135312519776949,0
2018-02-20,1328.800048828125,-0.018031261619999017,0
2018-02-21,1330.0,0.0009030336602811051,0
2018-02-22,1330.5999755859375,0.0004511094631109991,0
2018-02-23,1328.199951171875,-0.001803715961294583,0
2018-02-26,1330.699951171875,0.0018822467187973313,0
