"Dim.1","Dim.2","Dim.3","Dim.4","Dim.5"
-0.00639288418390725,-0.352439633965123,0.677856760324548,0.00836753274075112,-0.454492363543775
0.391791996122389,-0.00200550443883856,-0.345209851371485,0.00517774912287892,-0.0228499301272993
0.120500994500781,-0.017561449454933,-0.463260774105427,0.276657540465172,0.236502452056673
-0.0368855211857371,-0.281822105575329,-0.560036253331547,0.210141362018269,-0.213528726644257
-0.351490823325954,-0.870199516895428,-0.0879329785106208,-0.118091050146297,-0.176145607213178
-0.297886636115367,-0.846274000085222,0.263845654662153,0.339902244722667,-0.105377187727751
0.31459704663727,-0.0925088861366679,-0.566089213032428,0.147930276715208,0.113235424062373
0.349228509866716,0.30165222841936,-0.239844969951555,0.0950538332977,0.071324479095937
0.0352730939775855,-0.432473686578351,1.28818447494557,-0.0879826714224427,0.323138422799137
0.61687011880987,0.486328135182741,-1.56471901622464,-2.24038422501557,-0.792029109259076
0.000524312334358929,-0.261048104515782,-1.0384475569113,-1.21403535636691,0.94369655045292
-0.00246992348338434,-0.444981814136507,-0.350235675035342,0.118625686484003,-0.805202502902894
0.821999287755744,0.92006253051879,-1.6171300324028,-1.73301802140762,-0.566992924305674
-0.0729843823987611,-0.314673171747441,-0.535156110203255,0.361956295945425,0.207430813764381
-0.0397752754088678,-0.661086806513955,1.14768389349075,-0.0870903159926984,-0.574669809535604
-0.354479142065036,-0.836242003763093,1.16813162053555,-0.144967094523382,-0.577762215388299
-0.254527977582693,-0.621779659027687,-0.00562940292411535,0.0966142839407093,-0.127148543460855
-0.104846565939167,-0.435024131750158,-0.342323455562568,0.224353872161182,-0.0850285967459742
0.00370396134504692,-0.244106184589423,-0.499480952311138,0.348120102993885,0.185265411319407
-0.0470247567686099,-0.299065703383786,-0.465697990613169,0.364573710339821,0.177535867481015
-0.344580100451532,-1.1235587541019,0.816588753755618,0.190912097394052,-0.365313841206828
0.47795922921425,0.693698250875843,-0.382596093492097,0.0936179541472257,0.0907224147958348
-1.0172299625025,-1.11434526213934,-0.566429625966104,0.607706655018173,0.273498216659828
-0.297227062197226,-0.686592643068045,-0.366573312444911,0.409593295600962,0.148191638620683
-0.212915030669895,-0.643485350687638,0.421086548738735,0.00866273961549536,-0.247033293396256
-0.874371892909839,-1.12140314354781,-0.523290308299002,0.511710593001526,0.223827047325152
-0.0461100596380717,-1.13109321880725,2.22477303605349,-0.215630678344729,-0.997095847521289
-0.707704524659909,-1.13609634673619,-0.561747487455243,0.472983668412662,0.308826069078321
0.119793973602001,-0.721672039554119,-0.395527279160803,0.0295282780758864,-0.0397063417868619
0.417111386256902,0.400117551202857,-0.152835984740094,0.0903732031595064,-0.00392319821927027
0.20191516140262,-0.152084505068474,-0.0853122498845545,0.205151093597686,0.0864402807773721
-0.98935482498437,-1.14783849186026,-0.541694141019748,0.521604624096968,0.245955932709944
0.132804214819557,-0.0788411547957771,-0.529579046540062,0.298156643901393,0.186860361337866
-0.174432224179597,-0.675622851148223,0.214076978316086,0.169992837315032,-0.170970794411808
-0.867040110540123,-1.36990659450235,-0.184822515639513,-0.13426157651951,-0.129274821113603
0.150924215606417,-0.0851384752862908,0.201957359179927,0.189223890314179,0.170671829014769
0.0853178932402467,-0.387858764614861,-0.555428680018954,0.326656707076024,0.185046324779049
-0.659452394955519,-1.04399642284944,0.122671801654446,-0.144240360633125,-0.272503387509972
-0.673654737049868,-0.908990101602269,-0.368271388151544,0.408753552369574,0.170481074037629
-0.000880668636462451,-0.273634089194092,-1.03930729510751,0.297256252099434,-0.704191485558254
0.214156480732587,-0.129747326922156,-0.0389315359268273,-0.0640323561370465,-0.10443739044913
-0.2902229478607,-0.994390056248465,-0.539115720339725,0.544207747919539,0.24079305070665
-0.33412330228816,-0.867815558425455,-0.00871930172689925,-0.0651467207763951,-0.209823659448808
-0.152497934199624,-0.630339597093796,-0.418103037706158,0.415187877956314,0.165715557024753
-1.13785879168724,-1.04230142374735,-0.537143801107286,0.596526775729574,0.263482675349372
0.13429605001052,-0.118540242209844,1.3762736809828,-0.437224864717032,-0.571430272647234
0.133929653034295,-0.00569713469793332,-0.425134782694293,0.338906165756315,0.33302663362377
-0.759698387023077,-1.18270877637323,0.123499064216682,0.217365053104261,-0.106869496006156
0.0280323019729498,-0.344634775733625,-0.386926826516414,0.178213683841523,0.114837918400913
-0.151388165366999,-0.446275449724765,-0.377625963068054,0.281735030916963,0.0671771902601564
-0.102782401662862,-0.429011319124043,-0.543311195541201,0.387093990373397,0.206082807552861
-0.585494874053018,-1.03269552895393,0.0463940550562009,0.133496293746197,-0.13431478540857
-0.303564622247957,-0.78664378930531,-0.502994906347584,0.534554514945005,0.230447815354195
-1.69001022339589,-1.35962371100844,-0.212435550293283,-0.117568098238455,-0.112359605010705
-0.730295098962702,-0.927069522250466,-0.544645874884768,0.473178132019077,0.214699445187899
0.381441539316062,0.137773550286012,0.377236447516944,-0.0679912368217534,-0.235230958051528
0.322088796123657,-0.145451262698,-0.679489287347637,0.0708088169950075,0.0930853467483895
0.313814461943516,-0.183767614552555,-0.747401938706951,-0.335529226777622,0.0183078290635806
-0.454667318447991,-1.11357947080554,0.0561026887661161,0.134402697115511,-0.122134970937048
-0.118742951897848,-0.620016782622919,-0.807596156358817,0.310431019147109,-0.48527034065932
-0.482353738630341,-0.932383111228976,-0.251796838629106,0.409994416557666,0.10348010443384
