Date;Price;Open;High;Low;Vol.;Change %
06/23/2011;95.040;98.992;99.190;94.909;5.61M;-4.94%
06/22/2011;99.980;100.046;100.771;99.058;4.32M;-0.13%
06/21/2011;100.112;98.663;100.375;97.873;6.02M;2.15%
06/20/2011;98.004;97.807;98.663;96.292;4.69M;-2.30%
06/17/2011;100.310;94.843;100.573;94.579;9.79M;4.39%
06/16/2011;96.094;95.502;96.424;92.735;7.93M;-0.55%
06/15/2011;96.621;99.124;99.387;96.621;4.53M;-3.30%
06/14/2011;99.914;98.992;100.244;98.136;4.74M;2.50%
06/13/2011;97.477;97.807;98.795;96.819;3.08M;-0.13%
06/10/2011;97.609;98.136;99.849;97.082;5.44M;-1.00%
06/09/2011;98.597;98.531;99.322;96.424;5.99M;-0.20%
06/08/2011;98.795;100.310;100.573;98.597;5.29M;-1.96%
06/07/2011;100.771;100.310;101.429;99.914;4.93M;0.66%
06/06/2011;100.112;102.746;102.878;99.914;3.78M;-3.06%
06/03/2011;103.273;101.429;103.669;99.585;5.47M;1.62%
06/02/2011;101.627;100.573;103.471;99.849;4.60M;0.39%
06/01/2011;101.232;104.327;104.525;100.968;4.46M;-2.66%
05/31/2011;103.998;102.549;104.459;102.285;6.87M;2.73%
05/30/2011;101.232;102.285;102.878;100.836;2.53M;-1.03%
05/27/2011;102.285;101.824;103.800;101.034;7.71M;1.97%
05/26/2011;100.310;103.471;105.183;99.783;7.88M;-2.87%
05/25/2011;103.273;99.519;103.405;99.256;6.43M;2.68%
05/24/2011;100.573;100.902;101.693;98.860;5.49M;-0.20%
05/23/2011;100.771;99.914;101.758;99.058;5.33M;-2.49%
05/20/2011;103.339;107.752;108.345;102.944;6.23M;-3.80%
05/19/2011;107.423;106.369;108.608;105.447;5.42M;1.24%
05/18/2011;106.105;108.213;108.213;106.105;5.01M;-0.92%
05/17/2011;107.093;109.201;110.321;107.027;5.40M;-1.09%
05/16/2011;108.279;108.016;109.069;107.159;5.34M;-1.50%
05/13/2011;109.925;111.901;112.428;109.201;8.24M;1.77%
05/12/2011;108.016;107.093;108.477;106.830;4.72M;-0.36%
05/11/2011;108.411;109.465;110.189;108.147;4.67M;-0.78%
05/10/2011;109.267;106.764;109.530;105.842;5.87M;2.34%
05/09/2011;106.764;109.530;109.662;106.698;6.10M;-3.22%
05/06/2011;110.321;108.674;110.650;107.884;5.17M;1.76%
05/05/2011;108.411;110.584;110.848;107.884;5.56M;-1.79%
05/04/2011;110.387;112.560;113.877;110.255;7.12M;-2.90%
05/03/2011;113.680;114.207;114.272;112.362;3.76M;-0.23%
05/02/2011;113.943;115.326;115.721;113.746;2.17M;-0.46%
04/29/2011;114.470;114.075;114.865;113.482;1.84M;0.46%
04/28/2011;113.943;115.195;115.721;113.021;4.46M;-0.17%
04/27/2011;114.141;111.374;115.129;110.650;5.11M;2.73%
04/26/2011;111.111;111.111;113.021;110.387;3.21M;-0.24%
